sample,diffusion_coefficient
5,0.1826651843286869
4,0.14892464970918246
34,0.1193204759382324
3,0.09909992006896885
32,0.10460192257475888
2,0.06086367236865985
9,0.0736187392652702
8,0.022996284739415153
7,0.0029686626238326986
6,2.895567500916339e-05
