lag_frame[sec],MSD_[px^2]
0.008333333333333333,0.8743505970470837
0.016666666666666666,1.4051585618250126
0.025,1.9105780906894279
0.03333333333333333,2.4001396151048047
0.041666666666666664,2.88291636093572
0.05,3.361231595062974
0.058333333333333334,3.8248404138403926
0.06666666666666667,4.288729176163562
0.075,4.737588170832774
0.08333333333333333,5.184984122908888
0.09166666666666666,5.635775697737513
0.1,6.064805943341855
0.10833333333333334,6.493272881483199
0.11666666666666667,6.926255210262535
0.125,7.3501750873428
0.13333333333333333,7.768776231338676
0.14166666666666666,8.18920474522779
0.15,8.608656603631191
0.15833333333333333,9.014281698737715
0.16666666666666666,9.422303723448062
0.175,9.826859707726468
0.18333333333333332,10.225529698208144
0.19166666666666665,10.620114875268824
0.2,11.017283578258295
0.20833333333333334,11.402419378869979
0.21666666666666667,11.792385428700637
0.225,12.182496529057266
0.23333333333333334,12.570150127170717
0.24166666666666667,12.951565046950746
0.25,13.335037816674333
0.2583333333333333,13.708272815769126
0.26666666666666666,14.08587295046986
0.275,14.461792913283515
0.2833333333333333,14.831895001903831
0.2916666666666667,15.20099999941008
0.3,15.56906662102356
0.30833333333333335,15.931575765374507
0.31666666666666665,16.296705672719614
0.325,16.653522526235758
0.3333333333333333,17.009691033680294
0.3416666666666667,17.368299803668748
0.35,17.73458010429498
0.35833333333333334,18.09375741674655
0.36666666666666664,18.4500543194198
0.375,18.813691017595875
0.3833333333333333,19.164666961919362
0.39166666666666666,19.514646811520784
0.4,19.86282567675088
0.4083333333333333,20.210054954808086
0.4166666666666667,20.55910215482855
0.425,20.903034642307144
0.43333333333333335,21.252130578856455
0.44166666666666665,21.596600383378515
0.45,21.940823192996113
0.4583333333333333,22.28435537853071
0.4666666666666667,22.62644839402083
0.475,22.960872021268692
0.48333333333333334,23.304998703807104
0.49166666666666664,23.63791630844935
0.5,23.977312127583218
0.5083333333333333,24.318216247559956
0.5166666666666666,24.65507564707495
0.525,24.9864215125957
0.5333333333333333,25.316803724104687
0.5416666666666666,25.65128414031029
0.55,25.9840443032157
0.5583333333333333,26.313092766480523
0.5666666666666667,26.646649745939452
0.575,26.969076387409274
0.5833333333333334,27.297485155802278
0.5916666666666667,27.61729996916753
0.6,27.944463092877633
0.6083333333333333,28.268740646943574
0.6166666666666667,28.581554795971368
0.625,28.89767663075569
0.6333333333333333,29.20783086183218
0.6416666666666666,29.52365231937064
0.65,29.84001585854702
0.6583333333333333,30.163058165620193
0.6666666666666666,30.475906042483146
0.675,30.78964590021326
0.6833333333333333,31.091711323135378
0.6916666666666667,31.40353222796603
0.7,31.723269807598
0.7083333333333334,32.03961936570409
0.7166666666666667,32.35329210707234
0.725,32.67453019842824
0.7333333333333333,32.97961476788015
0.7416666666666667,33.2924760590753
0.75,33.60769124460576
0.7583333333333333,33.91961233000158
0.7666666666666666,34.23042567566049
0.775,34.54260368453668
0.7833333333333333,34.86139091380231
0.7916666666666666,35.17314437532476
0.8,35.47859246423521
0.8083333333333333,35.78338170323065
0.8166666666666667,36.10697321461223
0.825,36.415335845396285
0.8333333333333334,36.72584110527591
0.8416666666666667,37.03749893083735
0.85,37.35099925913704
0.8583333333333333,37.66040239296392
0.8666666666666667,37.96938713365622
0.875,38.26950315103028
0.8833333333333333,38.58053515286361
0.8916666666666666,38.89300411296134
0.9,39.189761417686356
0.9083333333333333,39.489378954311526
0.9166666666666666,39.79704013323583
0.9249999999999999,40.09399469646111
0.9333333333333333,40.39234224376888
0.9416666666666667,40.69296581813323
0.95,40.9836936125476
0.9583333333333334,41.287637151778455
0.9666666666666667,41.592056391138094
0.975,41.886502951957254
0.9833333333333333,42.191325338689026
0.9916666666666667,42.490118580017366
1.0,42.79176870472301
1.0083333333333333,43.08529727382735
1.0166666666666666,43.40592877164288
1.025,43.701454571054676
1.0333333333333332,43.995307729471
1.0416666666666667,44.30156446478335
1.05,44.598480264613144
1.0583333333333333,44.90540333805937
1.0666666666666667,45.20261472674307
1.075,45.498342760962736
1.0833333333333333,45.79093571428355
1.0916666666666666,46.08537207686479
1.1,46.36898578494869
1.1083333333333334,46.66770813205857
1.1166666666666667,46.95723555115551
1.125,47.24771196388541
1.1333333333333333,47.53565731967144
1.1416666666666666,47.82990097819074
1.15,48.11420822607987
1.1583333333333332,48.4084312089846
1.1666666666666667,48.69706735275297
1.175,48.99963041952524
1.1833333333333333,49.29468712710663
1.1916666666666667,49.582712435007096
1.2,49.87791811167645
1.2083333333333333,50.17030384102355
1.2166666666666666,50.46651708363658
1.225,50.76030862677501
1.2333333333333334,51.05637684951487
1.2416666666666667,51.34572235387751
1.25,51.637938406234
1.2583333333333333,51.92871503055325
1.2666666666666666,52.23283393359309
1.275,52.52313443321998
1.2833333333333332,52.818790852079374
1.2916666666666667,53.10889347627441
1.3,53.408501959185436
1.3083333333333333,53.69734013870276
1.3166666666666667,53.98480032113273
1.325,54.27830151351583
1.3333333333333333,54.57950180478712
1.3416666666666666,54.87418701847622
1.35,55.16171809790932
1.3583333333333334,55.46017346539058
1.3666666666666667,55.75666371717827
1.375,56.03726116748604
1.3833333333333333,56.32528039012951
1.3916666666666666,56.610054817736994
1.4,56.89384388647505
1.4083333333333332,57.17842313851412
1.4166666666666667,57.45658800585081
1.425,57.72990816906564
1.4333333333333333,58.02048965927856
1.4416666666666667,58.301066449857835
1.45,58.58431988679517
1.4583333333333333,58.85591582039932
1.4666666666666666,59.131345110118794
1.475,59.413989403690564
1.4833333333333334,59.69074956549628
1.4916666666666667,59.972076432920254
1.5,60.25217126875887
