lag_frame[sec],NGP_[dimensionless]
0.008333333333333333,3.640148299749307
0.016666666666666666,2.2842159601840675
0.025,1.5826904135124162
0.03333333333333333,1.2867967164345582
0.041666666666666664,1.0588522589893814
0.05,0.9478307531956223
0.058333333333333334,0.8438632022369534
0.06666666666666667,0.797173093458575
0.075,0.730529543252902
0.08333333333333333,0.691777796099565
0.09166666666666666,0.6739369941259175
0.1,0.6406225370452456
0.10833333333333334,0.606793359351711
0.11666666666666667,0.5887085191774568
0.125,0.5678036203259753
0.13333333333333333,0.5517528771509113
0.14166666666666666,0.5378179142305621
0.15,0.5332344301570686
0.15833333333333333,0.5189820609750415
0.16666666666666666,0.5077260200494425
0.175,0.5016992972837928
0.18333333333333332,0.4944661286945249
0.19166666666666665,0.4872608945629755
0.2,0.4820487242940723
0.20833333333333334,0.46925133763938165
0.21666666666666667,0.4620226894501249
0.225,0.46068019454971454
0.23333333333333334,0.45626667695904777
0.24166666666666667,0.4508977199216546
0.25,0.4483397140701859
0.2583333333333333,0.44338491890012754
0.26666666666666666,0.4366260525925707
0.275,0.43258452173131934
0.2833333333333333,0.428179207711489
0.2916666666666667,0.4239642907764323
0.3,0.41942091130693004
0.30833333333333335,0.4163142602341081
0.31666666666666665,0.41159834107843785
0.325,0.40935159695662615
0.3333333333333333,0.40648878909357666
0.3416666666666667,0.4063586591909294
0.35,0.4055444664187009
0.35833333333333334,0.4031477372158787
0.36666666666666664,0.4007715886588381
0.375,0.40014230680101126
0.3833333333333333,0.39657115169560475
0.39166666666666666,0.39457555464477156
0.4,0.3920366290126176
0.4083333333333333,0.38990575147500706
0.4166666666666667,0.39007720911097654
0.425,0.38827563539740617
0.43333333333333335,0.38652138157362037
0.44166666666666665,0.3860857314966306
0.45,0.38527622962870955
0.4583333333333333,0.38585061249129593
0.4666666666666667,0.38531589610729133
0.475,0.38354205588395707
0.48333333333333334,0.38235836441685067
0.49166666666666664,0.3809931803666493
0.5,0.3811992836767917
0.5083333333333333,0.3792869559028518
0.5166666666666666,0.37752379884622833
0.525,0.37485666924385797
0.5333333333333333,0.3721115698445021
0.5416666666666666,0.3724485102452002
0.55,0.3717821054141295
0.5583333333333333,0.36891469846021163
0.5666666666666667,0.3686160406807468
0.575,0.36852202084362995
0.5833333333333334,0.3686051284070684
0.5916666666666667,0.3667372226116081
0.6,0.3652439687980713
0.6083333333333333,0.3646048498340799
