lag time t,dr^2
0.008333333333333331,0.005479092150095966
0.016666666666666663,0.008002823691814397
0.024999999999999994,0.010289018600121278
0.03333333333333333,0.012421729610513021
0.041666666666666664,0.01443882628080518
0.05,0.016324192030190397
0.05833333333333335,0.018064532132293573
0.06666666666666667,0.0197548681434716
0.07499999999999998,0.02137056883369819
0.08333333333333333,0.02278272301009086
0.09166666666666666,0.024216942339734655
0.1,0.025571228904607814
0.10833333333333334,0.026826111131497646
0.1166666666666667,0.02804083874210579
0.125,0.029217306342644727
0.13333333333333333,0.030406765612225876
0.14166666666666666,0.03155086423806771
0.15,0.03264836062826624
0.1583333333333333,0.03378000036402143
0.16666666666666666,0.03488967757674156
0.175,0.03603629819809227
0.1833333333333333,0.03715524599995114
0.1916666666666667,0.03823174295370011
0.20000000000000004,0.039313738139546965
0.20833333333333334,0.04034217608222194
0.21666666666666665,0.04139387579542532
0.22500000000000003,0.04238483787150855
0.23333333333333334,0.04326642031986883
0.24166666666666667,0.04414233973442166
0.25,0.04491719459913234
0.25833333333333336,0.045750957899590626
0.26666666666666666,0.04656313192970455
0.275,0.04728022265682932
0.28333333333333327,0.048021670810635415
0.29166666666666674,0.048776110287435254
0.29999999999999993,0.049515451314762385
0.3083333333333334,0.050348749111476875
0.3166666666666666,0.05109601844441755
0.32500000000000007,0.051934374249752974
0.3333333333333333,0.05271465191341343
0.3416666666666667,0.05339097706282497
0.35,0.054136368325506536
0.3583333333333333,0.05488433166892577
0.3666666666666667,0.0556106190936797
0.375,0.056405461180754804
0.38333333333333336,0.057050654871604996
0.3916666666666666,0.057599270030021445
0.4,0.058244180254342054
0.4083333333333333,0.05882340135666171
0.4166666666666667,0.059396538656429326
0.42499999999999993,0.0599711494189767
0.4333333333333334,0.060442155459242884
0.4416666666666666,0.06097200629978636
0.45,0.06163047686651042
0.4583333333333333,0.062174528235765775
0.46666666666666673,0.06271828304565738
0.47500000000000003,0.06340343350141842
0.4833333333333334,0.06401106580596597
0.49166666666666664,0.06460704565593801
0.5,0.06537166800393109
0.5083333333333333,0.06595269259329878
0.5166666666666667,0.06669309099922889
0.5249999999999999,0.06719237655877049
0.5333333333333334,0.06785057072640886
0.5416666666666666,0.06842840863546927
0.55,0.06899289364980579
0.5583333333333333,0.06941650387761447
0.5666666666666668,0.06990129498419598
0.575,0.07030855048746373
0.5833333333333333,0.07087848073679766
0.5916666666666667,0.07129454534124656
0.6,0.0717066564590596
0.6083333333333333,0.07216875054501933
0.6166666666666667,0.07268349359346703
0.625,0.07322601732223573
0.6333333333333333,0.07373999886979435
0.6416666666666667,0.07423060674628203
0.65,0.07489001630029278
0.6583333333333332,0.07548096030657858
0.6666666666666666,0.07602735864649006
0.675,0.07655220083988948
0.6833333333333333,0.07714596440343321
0.6916666666666665,0.07751737884851848
0.7000000000000001,0.07810725879852735
0.7083333333333334,0.07848748095184035
0.7166666666666667,0.07889285735309605
0.725,0.07921779984548394
0.7333333333333333,0.07980206467523673
0.7416666666666668,0.07997679551798827
0.7499999999999999,0.08052031413672499
0.7583333333333333,0.08087066513641146
0.7666666666666668,0.08133182712365007
0.7750000000000001,0.08178894682806262
0.7833333333333333,0.0823015280481398
0.7916666666666665,0.08278449655330146
0.8,0.08329788501571411
0.8083333333333333,0.08386980612141126
0.8166666666666667,0.08424786761577452
0.825,0.08484075657984051
0.8333333333333334,0.08528522344773688
0.8416666666666668,0.0857009091233241
0.85,0.08628200494818208
0.8583333333333333,0.08662549548131647
0.8666666666666667,0.08701458485119742
0.875,0.08736146372795708
0.8833333333333332,0.08757418967203888
0.8916666666666667,0.08799308850577303
0.9,0.08835346010302747
0.9083333333333333,0.08875444233391604
0.9166666666666666,0.08919849048624115
0.925,0.08964915392515513
0.9333333333333333,0.089936180195343
0.9416666666666668,0.09032828395347926
0.9500000000000001,0.0908631003797363
0.9583333333333333,0.0914181577462301
0.9666666666666668,0.09150574791824727
0.9749999999999998,0.09196245074209254
0.9833333333333333,0.09247535168532864
0.9916666666666667,0.09294906544655684
1.0,0.09298177115410614
1.0083333333333333,0.09336565370023336
1.0166666666666666,0.09364898012355187
1.0249999999999997,0.09392046473097015
1.0333333333333334,0.09411329402504363
1.0416666666666665,0.09447756817275933
1.05,0.09489127319000325
1.0583333333333333,0.0951965063083568
1.0666666666666664,0.095491055456729
1.075,0.09585167481687513
1.0833333333333333,0.09621216731722473
1.0916666666666666,0.09663727573309026
1.0999999999999999,0.09709446683657987
1.1083333333333334,0.09754502490141553
1.1166666666666667,0.09779442758219216
1.1250000000000002,0.09825516247474536
1.1333333333333333,0.09874992293030697
1.1416666666666666,0.09915089512712172
1.1500000000000001,0.09956557456427956
1.1583333333333337,0.09997426177220883
1.1666666666666665,0.1002997988338256
1.1749999999999998,0.10068254219011871
1.1833333333333333,0.10089530475260418
1.1916666666666667,0.10129571234918414
1.2,0.10159889890522944
1.2083333333333335,0.10192005091176838
1.2166666666666666,0.10233412888486745
1.225,0.10262427343175523
1.2333333333333334,0.10315154743630078
1.2416666666666667,0.10340568175254902
1.2500000000000002,0.10405103340913836
1.2583333333333333,0.10439839974825971
1.2666666666666668,0.10482437558486336
1.2749999999999997,0.1052773515712126
1.2833333333333334,0.10563704632854114
1.2916666666666667,0.10616996840473364
1.2999999999999998,0.10653384216295088
1.3083333333333336,0.10691313720375889
1.3166666666666664,0.10729209810317239
1.325,0.10775553717004648
1.3333333333333333,0.10812849377154131
1.3416666666666668,0.10833943963325414
1.35,0.10875464833907503
1.3583333333333334,0.10894396657983726
1.3666666666666667,0.10915978884603912
